Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-05-24),Price Override,Watchlist,Date Added,Notes,PC URL,PC Ungraded (Raw),PC Grade 8,PC Grade 9,PC Note
Roy Yugioh,YuGiOh,Power of Chaos: Yugi the Destiny,Thousand Knives,PCY-003,Secret Rare,Limited,Ungraded,Near Mint,0,1,18.84,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=PCY-003%20Thousand%20Knives&type=prices,19.86,21.25,25.25,
Roy Yugioh,YuGiOh,2004 Collectors Tin,Blade Knight,CT1-EN002,Secret Rare,Limited,Ungraded,Lightly Played,0,3,18.62,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-collectible-tins-2004/blade-knight-ct1-en002,15.18,32.83,50.15,
Roy Yugioh,YuGiOh,Legacy of Darkness,Reinforcement of the Army,LOD-028,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,18.6,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/reinforcement-of-the-army-1st-edition-lod-028,19.66,19.99,40.65,
Roy Yugioh,YuGiOh,Magician's Force,Tribe-Infecting Virus,MFC-076,Super Rare,1st Edition,Ungraded,Near Mint,0,1,18.52,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/tribe-infecting-virus-1st-edition-mfc-076,19.0,39.01,86.03,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Don Zaloog,PGD-029,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,18.29,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/don-zaloog-1st-edition-pgd-029,18.52,39.19,85.49,
Roy Yugioh,YuGiOh,Legacy of Darkness,Fiber Jar,LOD-056,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,18.2,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/fiber-jar-1st-edition-lod-056,19.09,41.26,79.09,
Roy Yugioh,YuGiOh,Legacy of Darkness,Creature Swap,LOD-081,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,3,18.07,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/creature-swap-1st-edition-lod-081,19.19,18.0,44.95,
Roy Yugioh,YuGiOh,Magician's Force,X-Head Cannon,MFC-004,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,17.48,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/x-head-cannon-1st-edition-mfc-004,10.62,19.85,42.5,
Roy Yugioh,YuGiOh,Magician's Force,Amazoness Swords Woman,MFC-061,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,17.28,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/amazoness-swords-woman-1st-edition-mfc-061,19.99,31.57,62.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,17.05,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/torrential-tribute-lon-025,12.09,29.53,32.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Gemini Elf,LON-000,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,16.82,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/gemini-elf-lon-000,21.85,44.01,90.15,
Roy Yugioh,YuGiOh,Metal Raiders,Solemn Judgment,MRD-127,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,16.64,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/solemn-judgment-mrd-127,14.94,42.35,68.01,
Roy Yugioh,YuGiOh,Legacy of Darkness,Dark Ruler Ha Des,LOD-001,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,16.6,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/dark-ruler-ha-des-1st-edition-lod-001,17.45,47.38,88.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Mask of Restrict,LON-018,Ultra Rare,Unlimited,Ungraded,Near Mint,0,2,16.48,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/mask-of-restrict-lon-018,14.68,20.0,24.52,
Roy Yugioh,YuGiOh,Invasion of Chaos,Invader of Darkness,IOC-111,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,16.48,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/invader-of-darkness-1st-edition-ioc-111,12.43,40.0,100.84,
Roy Yugioh,YuGiOh,Dark Crisis,D.D. Warrior Lady,DCR-027,Super Rare,1st Edition,Ungraded,Near Mint,0,1,16.3,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-crisis/dd-warrior-lady-1st-edition-dcr-027,15.0,32.36,46.0,
Roy Yugioh,YuGiOh,Magic Ruler,Delinquent Duo,MRL-039,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,16.07,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/delinquent-duo-mrl-039,13.13,29.33,54.43,
Roy Yugioh,YuGiOh,Elemental Energy,B.E.S. Tetran (UTR),EEN-EN017,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,1,16.05,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-elemental-energy/bes-tetran-1st-edition-een-en017,7.64,21.55,24.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Jar of Greed,LON-047,Super Rare,Unlimited,Ungraded,Lightly Played,0,3,15.84,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/jar-of-greed-lon-047,12.0,8.75,24.8,
Roy Yugioh,YuGiOh,Magician's Force,Tribe-Infecting Virus,MFC-076,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,15.74,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/tribe-infecting-virus-1st-edition-mfc-076,19.0,39.01,86.03,
Roy Yugioh,YuGiOh,Invasion of Chaos,Manticore of Darkness,IOC-067,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,15.72,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/manticore-of-darkness-1st-edition-ioc-067,16.86,35.97,76.38,
Roy Yugioh,YuGiOh,Ancient Sanctuary,The End of Anubis,AST-000,Secret Rare,1st Edition,Ungraded,Near Mint,0,1,15.65,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-ancient-sanctuary/the-end-of-anubis-1st-edition-ast-000,19.16,43.36,61.0,
Roy Yugioh,YuGiOh,Dark Beginning 1,Big Shield Gardna,DB1-EN097,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,15.4,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DB1-EN097%20Big%20Shield%20Gardna&type=prices,15.86,42.26,46.0,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Call Of The Haunted,PSV-012,Ultra Rare,Unlimited,Ungraded,Near Mint,0,1,14.72,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/call-of-the-haunted-psv-012,12.17,13.5,22.5,
Roy Yugioh,YuGiOh,Legacy of Darkness,Injection Fairy Lily,LOD-100,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,14.54,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/injection-fairy-lily-lod-100,12.51,63.3,82.97,
Roy Yugioh,YuGiOh,Invasion of Chaos,Strike Ninja,IOC-007,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,3,14.45,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/strike-ninja-1st-edition-ioc-007,11.75,39.99,52.43,
Roy Yugioh,YuGiOh,Cybernetic Revolution,Cyber Dragon,CRV-EN015,Super Rare,1st Edition,Ungraded,Near Mint,0,1,14.37,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-cybernetic-revolution/cyber-dragon-1st-edition-crv-en015,15.23,45.57,85.71,
Roy Yugioh,YuGiOh,World Championship 2004: GBA Promo,Kinetic Soldier,WC4-002,Secret Rare,Limited,Ungraded,Lightly Played,0,1,14.28,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=WC4-002%20Kinetic%20Soldier&type=prices,11.06,30.71,50.33,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Mask of Restrict,LON-018,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,14.01,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/mask-of-restrict-lon-018,14.68,20.0,24.52,
Roy Yugioh,YuGiOh,Dark Crisis,D.D. Warrior Lady,DCR-027,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,13.86,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-crisis/dd-warrior-lady-1st-edition-dcr-027,15.0,32.36,46.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Card of Safe Return,LON-029,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,13.84,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/card-of-safe-return-1st-edition-lon-029,14.49,25.49,51.82,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Reaper on the Nightmare,PGD-078,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,13.49,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/reaper-on-the-nightmare-pgd-078,15.98,24.15,32.55,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Ceasefire,PSV-030,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,13.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/ceasefire-1st-edition-psv-030,8.33,27.67,43.18,
Roy Yugioh,YuGiOh,Ancient Sanctuary,The End of Anubis,AST-000,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,13.3,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-ancient-sanctuary/the-end-of-anubis-1st-edition-ast-000,19.16,43.36,61.0,
Roy Yugioh,YuGiOh,Magician's Force,Spell Canceller,MFC-020,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,13.12,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/spell-canceller-1st-edition-mfc-020,13.72,31.24,54.27,
Roy Yugioh,YuGiOh,The Legend of Blue Eyes White Dragon,Monster Reborn,LOB-118,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,13.07,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legend-of-blue-eyes-white-dragon/monster-reborn-lob-118,20.0,50.01,75.0,
Roy Yugioh,YuGiOh,Stairway to the Destined Duel,Valkyrion the Magna Warrior,SDD-001,Secret Rare,Limited,Ungraded,Lightly Played,0,1,12.9,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=SDD-001%20Valkyrion%20the%20Magna%20Warrior&type=prices,14.1,50.0,74.99,
Roy Yugioh,YuGiOh,Flaming Eternity,Lightning Vortex,FET-EN040,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,12.87,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-flaming-eternity/lightning-vortex-1st-edition-fet-en040,14.99,9.56,35.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Torrential Tribute,LON-025,Ultra Rare,Unlimited,Ungraded,Moderately Played,0,1,12.79,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/torrential-tribute-lon-025,12.09,29.53,32.0,
Roy Yugioh,YuGiOh,Cybernetic Revolution,Cyber Dragon,CRV-EN015,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,12.21,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-cybernetic-revolution/cyber-dragon-1st-edition-crv-en015,15.23,45.57,85.71,
Roy Yugioh,YuGiOh,Magician's Force,Skilled Dark Magician,MFC-065,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,12.19,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/skilled-dark-magician-1st-edition-mfc-065,12.47,29.5,72.5,
Roy Yugioh,YuGiOh,Rise of Destiny,Perfect Machine King,RDS-EN012,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,12.17,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-rise-of-destiny/perfect-machine-king-ultimate-rare-rds-en012,23.39,34.98,,
Roy Yugioh,YuGiOh,Legacy of Darkness,Exiled Force,LOD-023,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,11.72,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/exiled-force-1st-edition-lod-023,9.98,16.49,38.5,
Roy Yugioh,YuGiOh,Power of Chaos: Joey the Passion,Sebek's Blessing,PCJ-EN002,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,2,11.29,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=PCJ-EN002%20Sebek%27s%20Blessing&type=prices,11.0,38.95,43.0,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Chain Destruction,PSV-006,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,11.16,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/chain-destruction-1st-edition-psv-006,10.81,25.0,50.5,
Roy Yugioh,YuGiOh,Magician's Force,Tribe-Infecting Virus,MFC-076,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,11.08,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/tribe-infecting-virus-mfc-076,15.1,23.0,25.2,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Imperial Order,PSV-104,Secret Rare,1st Edition,Ungraded,Lightly Played,0,1,11.07,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/imperial-order-1st-edition-psv-104,8.18,34.98,56.0,
Roy Yugioh,YuGiOh,Ancient Sanctuary,Dark Magic Attack,AST-095,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,10.93,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-ancient-sanctuary/dark-magic-attack-ast-095,12.81,6.5,52.55,
Roy Yugioh,YuGiOh,Magician's Force,Luster Dragon,MFC-058,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,10.93,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/luster-dragon-mfc-058,12.55,12.5,40.0,
Roy Yugioh,YuGiOh,Soul of the Duelist,Horus the Black Flame Dragon LV8,SOD-EN008,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,10.8,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-soul-of-the-duelist/horus-the-black-flame-dragon-lv8-ultimate-rare-sod-en008,163.4,718.51,790.0,
Roy Yugioh,YuGiOh,Cybernetic Revolution,Goblin Elite Attack Force (UTR),CRV-EN020,Ultimate Rare,1st Edition,Ungraded,Lightly Played,0,2,10.8,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-cybernetic-revolution/goblin-elite-attack-force-1st-edition-crv-en020,2.99,14.2,14.86,
Roy Yugioh,YuGiOh,2003 Collectors Tin,XYZ-Dragon Cannon,BPT-010,Secret Rare,Limited,Ungraded,Lightly Played,0,2,10.52,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=BPT-010%20XYZ-Dragon%20Cannon&type=prices,7.05,20.0,39.5,
Roy Yugioh,YuGiOh,Stairway to the Destined Duel,Sinister Serpent,SDD-002,Prismatic Secret Rare,Limited,Ungraded,Near Mint,0,1,10.29,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=SDD-002%20Sinister%20Serpent&type=prices,9.75,26.46,36.17,
Roy Yugioh,YuGiOh,Starter Deck: Pegasus,Graceful Charity,SDP-040,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,10,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-starter-deck-pegasus/graceful-charity-1st-edition-sdp-040,7.0,20.89,45.26,
Roy Yugioh,YuGiOh,Duelist of the Roses,Beta the Magnet Warrior,DOR-002,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,9.99,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DOR-002%20Beta%20the%20Magnet%20Warrior&type=prices,8.14,29.99,39.0,
Roy Yugioh,YuGiOh,Ancient Sanctuary,Emissary of the Afterlife,AST-076,Super Rare,1st Edition,Ungraded,Lightly Played,0,2,9.78,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-ancient-sanctuary/emissary-of-the-afterlife-1st-edition-ast-076,10.88,17.06,26.79,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Mystical Knight of Jackal,PGD-069,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,9.73,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/mystical-knight-of-jackal-1st-edition-pgd-069,8.98,34.78,50.84,
Roy Yugioh,YuGiOh,Invasion of Chaos,Guardian Angel Joan,IOC-087,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,9.69,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-invasion-of-chaos/guardian-angel-joan-1st-edition-ioc-087,12.0,31.76,49.28,
Roy Yugioh,YuGiOh,Destiny Board Traveler Promo,D.D. Assailant,DBT-EN002,Super Rare,Unlimited,Ungraded,Lightly Played,0,3,9.67,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DBT-EN002%20D.D.%20Assailant&type=prices,10.09,0.99,19.2,
Roy Yugioh,YuGiOh,Dawn of Destiny Xbox,Widespread Ruin,DOD-003,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,9.37,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DOD-003%20Widespread%20Ruin&type=prices,9.09,24.55,24.99,
Roy Yugioh,YuGiOh,Yu-Gi-Oh! Video Game Promotional Cards,Salamandra (Dark Duel Stories),DDS-006,Secret Rare,Limited,Ungraded,Lightly Played,0,3,9.35,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DDS-006%20Salamandra&type=prices,5.0,27.88,75.0,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Guardian Sphinx,PGD-025,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,9.26,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/guardian-sphinx-1st-edition-pgd-025,9.65,27.03,41.75,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Kycoo the Ghost Destroyer,LON-062,Super Rare,Unlimited,Ungraded,Near Mint,0,2,8.96,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/kycoo-the-ghost-destroyer-lon-062,9.08,22.06,31.44,
Roy Yugioh,YuGiOh,The Lost Millennium,Brain Control,TLM-EN038,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,8.88,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-the-lost-millennium/brain-control-ultimate-rare-1st-edition-tlm-en038,272.67,260.4,298.19,
Roy Yugioh,YuGiOh,Magician's Force,Z-Metal Tank,MFC-006,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,8.86,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/z-metal-tank-1st-edition-mfc-006,9.72,17.94,39.68,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Call Of The Haunted,PSV-012,Ultra Rare,Unlimited,Ungraded,Heavily Played,0,1,8.83,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/call-of-the-haunted-psv-012,12.17,13.5,22.5,
Roy Yugioh,YuGiOh,Stairway to the Destined Duel,Sinister Serpent,SDD-002,Prismatic Secret Rare,Limited,Ungraded,Lightly Played,0,1,8.75,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=SDD-002%20Sinister%20Serpent&type=prices,9.75,26.46,36.17,
Roy Yugioh,YuGiOh,Starter Deck: Joey,Red-Eyes B. Dragon,SDJ-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,8.64,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-starter-deck-joey/red-eyes-black-dragon-sdj-001,9.02,69.11,148.14,
Roy Yugioh,YuGiOh,Pharaoh's Servant,Premature Burial,PSV-037,Ultra Rare,Unlimited,Ungraded,Moderately Played,0,1,8.58,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaoh%27s-servant/premature-burial-psv-037,8.87,20.25,34.99,
Roy Yugioh,YuGiOh,Dark Crisis,Interdimensional Matter Transporter,DCR-052,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,4,8.53,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-dark-crisis/interdimensional-matter-transporter-1st-edition-dcr-052,7.11,8.25,34.67,
Roy Yugioh,YuGiOh,Ancient Sanctuary,Zaborg the Thunder Monarch,AST-023,Super Rare,Unlimited,Ungraded,Lightly Played,0,2,8.51,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-ancient-sanctuary/zaborg-the-thunder-monarch-ast-023,9.56,26.32,29.0,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Question,PGD-104,Ultra Rare,1st Edition,Ungraded,Lightly Played,0,1,8.42,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/question-1st-edition-pgd-104,6.69,23.29,45.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,The Masked Beast,LON-001,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,8.38,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/the-masked-beast-lon-001,8.04,25.08,39.86,
Roy Yugioh,YuGiOh,Magician's Force,Y-Dragon Head,MFC-005,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,8.36,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magician%27s-force/y-dragon-head-1st-edition-mfc-005,9.0,30.36,45.06,
Roy Yugioh,YuGiOh,Duelist of the Roses,Alpha the Magnet Warrior,DOR-001,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,8.25,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DOR-001%20Alpha%20the%20Magnet%20Warrior&type=prices,8.57,29.77,45.0,
Roy Yugioh,YuGiOh,Metal Raiders,Heavy Storm,MRD-142,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,7.93,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/heavy-storm-mrd-142,7.45,12.0,31.49,
Roy Yugioh,YuGiOh,Legacy of Darkness,Spear Dragon,LOD-035,Super Rare,1st Edition,Ungraded,Near Mint,0,2,7.87,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/spear-dragon-1st-edition-lod-035,9.14,9.1,35.0,
Roy Yugioh,YuGiOh,World Championship 2005: 7 Trials to Glory,Silent Swordsman LV7,WC5-EN001,Ultra Rare,Limited,Ungraded,Lightly Played,0,1,7.8,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=WC5-EN001%20Silent%20Swordsman%20LV7&type=prices,8.0,26.0,51.55,
Roy Yugioh,YuGiOh,Magic Ruler,Snatch Steal,MRL-036,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,7.74,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/snatch-steal-mrl-036,9.0,17.13,21.25,
Roy Yugioh,YuGiOh,McDonald's Promo,Goddess of Whim,MP1-003,Super Rare,Limited,Ungraded,Lightly Played,0,2,7.67,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=MP1-003%20Goddess%20of%20Whim&type=prices,6.94,45.36,50.0,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Kycoo the Ghost Destroyer,LON-062,Super Rare,Unlimited,Ungraded,Lightly Played,0,1,7.62,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/kycoo-the-ghost-destroyer-lon-062,9.08,22.06,31.44,
Roy Yugioh,YuGiOh,Metal Raiders,Barrel Dragon,MRD-126,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,7.61,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/barrel-dragon-mrd-126,8.99,35.38,52.5,
Roy Yugioh,YuGiOh,Metal Raiders,Time Wizard,MRD-065,Ultra Rare,Unlimited,Ungraded,Damaged,0,1,7.61,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/time-wizard-mrd-065,19.0,89.5,94.91,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Book of Life,PGD-033,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,7.57,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/book-of-life-1st-edition-pgd-033,6.91,13.5,27.34,
Roy Yugioh,YuGiOh,Metal Raiders,Thousand Dragon,MRD-143,Secret Rare,Unlimited,Ungraded,Lightly Played,0,1,7.5,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-metal-raiders/thousand-dragon-mrd-143,10.89,37.48,81.84,
Roy Yugioh,YuGiOh,Legacy of Darkness,Asura Priest,LOD-071,Super Rare,1st Edition,Ungraded,Lightly Played,0,1,7.48,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/asura-priest-1st-edition-lod-071,8.94,15.5,31.0,
Roy Yugioh,YuGiOh,Dark Beginning 1,Makyura the Destructor,DB1-EN169,Super Rare,Unlimited,Ungraded,Lightly Played,0,2,7.42,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=DB1-EN169%20Makyura%20the%20Destructor&type=prices,11.17,6.13,15.5,
Roy Yugioh,YuGiOh,Magic Ruler,Relinquished,MRL-029,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,2,7.34,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-magic-ruler/relinquished-mrl-029,7.41,45.0,48.0,
Roy Yugioh,YuGiOh,Stairway to the Destined Duel,Harpie's Feather Duster,SDD-003,Secret Rare,Limited,Ungraded,Lightly Played,0,2,7.27,0,False,2026-05-24,,https://www.pricecharting.com/search-products?q=SDD-003%20Harpie%27s%20Feather%20Duster&type=prices,10.0,27.5,62.37,
Roy Yugioh,YuGiOh,Legacy of Darkness,Airknight Parshath,LOD-062,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,7.25,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-legacy-of-darkness/airknight-parshath-lod-062,9.71,12.5,49.97,
Roy Yugioh,YuGiOh,Labyrinth of Nightmare,Destiny Board,LON-088,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,1,7.18,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-labyrinth-of-nightmare/destiny-board-lon-088,7.99,34.99,38.0,
Roy Yugioh,YuGiOh,Ancient Sanctuary,Enemy Controller,AST-037,Ultra Rare,Unlimited,Ungraded,Lightly Played,0,3,7.15,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-ancient-sanctuary/enemy-controller-ast-037,9.61,12.0,23.53,
Roy Yugioh,YuGiOh,Pharaonic Guardian,Lava Golem,PGD-107,Secret Rare,Unlimited,Ungraded,Moderately Played,0,1,7.12,0,False,2026-05-24,,https://www.pricecharting.com/game/yugioh-pharaonic-guardian/lava-golem-pgd-107,8.0,35.0,110.0,
